ID,Pilih Nama Dosen,Mata Kuliah,Petemuan Ke,Tanggal,Keterangan,Lama Perkualiahan ,Materi yang diberikan 
bbec1b99,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Komputer Akuntansi - Kelas C,1,19/03/2025,Online,02.00.00,Materi
8d466d9c,"Taufan Sufatriansa Awal, S.Ak., M.Acc",Manajemen Pemasaran - Kelas C,4,19/03/2025,Offline,02.00.00,Pengambilan keputusan dalam manajemen pemasaran
a5fa401e,"Taufan Sufatriansa Awal, S.Ak., M.Acc",Komputer Akuntansi - Kelas D,4,17/03/2025,Offline,02.00.00,Accurate
d81a8fec,"Vina Olivia Pebrianti, SE. ME",Analisa Laporan Keuangan - Kelas D,4,12/03/2025,Offline,02.00.00,Profitabilitas
e92f88ce,"Dr. Sujono, SE., M.Si.",Metodologi Penelitian - Kelas D-22,3,15/03/2025,Offline,02.00.00,Pondasi metodologi dan jurnal
fd5d418d,"Dr. H. Nasrullah Dali, SE, M.Si, Ak, CA",Sistem Akuntansi Keuangan Daerah - Kelas D,4,12/03/2025,Offline,02.00.00,Gambaran umum sistem akuntansi keuangan daerah
11183155,"Prof. Dr. H. Ishak Awaluddin, SE, M.Si, Ak, CA, Asean CPA, ACPA, CTA, CPA",Manajemen Strategi - Kelas D,4,13/03/2025,Offline,02.00.00,presentasi konsep visi dan misi
ce0f118e,"Dr. Erwin Hadisantoso, SE, M.Si, Ak, CA, ACPA, Asean CPA",Etika Bisnis dan Profesi Akuntan - Kelas D,3,14/03/2025,Offline,02.00.00,Kasus Enron
9f371a82,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Akuntansi Keuangan Lanjutan II - Kelas D,3,18/03/2025,Offline,02.00.00,tugas kertas kerja konsolidasi
d8ddc599,"Vina Olivia Pebrianti, SE. ME",Analisa Laporan Keuangan - Kelas D,3,05/03/2025,Offline,02.00.00,Rasio solvabilitas
e57609c2,"Dr. Sujono, SE., M.Si.",Metodologi Penelitian - Kelas D-22,2,08/03/2025,Offline,02.00.00,Mendownload aplikasi
