ID,Pilih Nama Dosen,Mata Kuliah,Petemuan Ke,Tanggal,Keterangan,Lama Perkualiahan ,Materi yang diberikan 
32faeda9,"Fitriaman, SE., MSA, Ak, CSRS, CSRA, CRA, CIISA",INTERNAL AUDIT - Kelas D,1,01/09/2025,Online,2 jam,Membahas RPS dan sistem pembelajaran di kelas
8c68bd6c,"Yuli Lestari Labangu, S.E., M.Sc.",Analisa Laporan Keuangan - Kelas B,1,03/09/2025,Online,1 jam,membahas tentang RPS dan sistem pembelajaran dikelas
3d687365,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",Teori Akuntansi - Kelas D,1,03/09/2025,Offline,1 jam 30 menit,"Membahas sistem pembelajaran selama 4 pekan ke depan, metode belajar mahasiswa dan lain lain"
af940905,"Vina Olivia Pebrianty, SE., ME",Pengantar Bisnis - Kelas C,1,04/09/2025,Offline,1 jam 30 menit,membahas RPS dan materi lingkungan bisnis & tanggung jawab sosial
78985459,"Satira Yusuf, SE., M.Si.",Pengantar Bisnis - Kelas E,1,03/09/2025,Online,1 jam,"""Membahas sistem pembelajaran kedepan dan metode pembelajaran mahasiswa"""
ae37ab40,"Mansyur M., S.Pd., M.Pd.",Bahasa Indonesia - Kelas E,1,03/09/2025,Offline,1 jam 46 menit,Membahas perkenalan dan pembahasan kuliah
ecb7502a,"Prof. Dr. H. Ishak Awaluddin, SE, M.Si, Ak, CA, CPA",Pengantar Bisnis - Kelas A,1,04/09/2025,Offline,1 jam 3 Menit,Bisnis & Lingkungan
e0888a31,"Prof. Dr. H. Ishak Awaluddin, SE, M.Si, Ak, CA, CPA",Pengantar Bisnis - Kelas A,1,04/09/2025,Offline,1 jam 30 Menit,Bisnis & Lingkungan
5ddbb906,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Manajemen Keuangan II - Kelas A,1,04/09/2025,Offline,1 jam 30 menit,"Pembagian kelompok untuk materi, kriteria penilaian, materi yang akan di presentasikan minggu depan sumber dana jangka pendek."
c93e2bdd,"Prof. Dr. H. Hasbudin, SE, M.Si, Ak, QIA, CA, ACPA, CTA",Pasar Modal dan Manajemen Portofolio - Kelas A,1,04/09/2025,Offline,1 jam 30 menit,Definisi investasi.
74983548,"Dr. Nur Asni, SE., M.Si.",AKUNTANSI KEUANGAN MENENGAH 1 - Kelas A,1,03/09/2025,Offline,1 jam 30 menit,Baru pengantar awal masuk.
d16522e7,"Wa Ode Reni, S.Pd., M.H.",Kewarganegaraan - Kelas A,1,04/09/2025,Online,1 jam,Pengenalan materi
029228ae,"Dr. Nur Asni, SE., M.Si.",AKUNTANSI KEUANGAN MENENGAH 1 - Kelas A,1,03/09/2025,Offline,30 menit,Pengenalan materi
279eeaee,"Dr. Tuti Dharmawati, SE, M.Si, Ak, QIA, CA, ACPA, CRMP, CMA",Etika Bisnis dan Profesi Akuntan - Kelas A,1,08/09/2025,Offline,1 jam 30 menit,Pengertian Etika
bf2fe7d6,"Vina Olivia Pebrianty, SE., ME",Pengantar Ilmu Ekonomi - Kelas E,1,08/09/2025,Offline,2 jam 30 menit,"Membahas tentang pengenalan, aturan perkuliahan, dan materi awal"
4ac17d52,"Fitriaman, SE., MSA, Ak, CSRS, CSRA, CRA, CIISA",INTERNAL AUDIT - Kelas D,2,08/09/2025,Offline,45 menit,Internal audit berbasis resiko
c6adf20e,"MUHAMMAD ZAIKIN, S.Ak., M.Ak.",Analisa Laporan Keuangan - Kelas D,1,04/09/2025,Offline,2jam 15 menit,pengertian dan pendahuluan analisa laporan keuangan ( sesuai dengan RPS)
e153b58b,"Dr. Nitri Mirosea, S.E., M.Si., MA.",AKUNTANSI KEUANGAN LANJUTAN 1 - Kelas D,1,04/09/2025,Offline,1 jam 45 menit,Persekutuan dan sistem pembelajaran yang akan di gunakan ketika pbm
e002ed2a,"Dr. H. Nasrullah Dali, SE, M.Si, Ak, CA",Etika Bisnis dan Profesi Akuntan - Kelas D,1,02/09/2025,Online,1 jam 30 menit,kontrak perkuliahan
530ad229,"Prof. Dr. H. Hasbudin, SE, M.Si, Ak, QIA, CA, ACPA, CTA",Manajemen Strategi - Kelas D,1,03/09/2025,Offline,1 jam 30 menit,kontrak perkuliahan
d04da604,"Dr. H. Nasrullah Dali, SE, M.Si, Ak, CA",Etika Bisnis dan Profesi Akuntan - Kelas D,2,09/09/2025,Online,2 jam 30 menit,teori etika dan prinsip etik dalam bisnis
12bf1b41,"Dr. Emillia Nurdin, S.E., M.Si.",AKUNTANSI KEUANGAN LANJUTAN 1 - Kelas A,1,08/09/2025,Offline,1 jam 30 menit,membahas rps dan sistem pembelajaran
dba6b585,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Manajemen Strategi - Kelas A,1,09/09/2025,Offline,1 jam 30 menit,Membahas RPS dan sistem pembelajaran serta materi yang diberikan
f49cf3ba,"LA ODE MUHAMMAD SAUM FASIHU, S.Ak., M.Ak.",Praktikum Audit - Kelas A,1,03/09/2025,Offline,1 jam 30 menit,membahasa rps dan sistem pembelajaran
35bdbf5a,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Manajemen Strategi - Kelas A,1,09/09/2025,Offline,1 jam 30 Menit,Pembahasan RPS dan aturan selama perkuliahan berlangsung
1423ff3b,"Vina Olivia Pebrianty, SE., ME",Analisa Laporan Keuangan - Kelas A,1,03/09/2025,Offline,1 jam 30 menit,Pengantar mata kuliah
00591f32,"Dr. Intihanah, SE, M.Si, QIA",INTERNAL AUDIT - Kelas A,1,04/09/2025,Online,30 menit,pembagian kelompok dan penjelasan tugas
526285b6,"Prof. Dr. H. Arifuddin, SE, M.Si, Ak, CA, ACPA, CTA",Auditing I - Kelas A,1,08/09/2025,Offline,1 jam 30 menit,Independent seorang auditor
b48c6631,"Prof. Dr. Rosnawintang, S.E., M.Si.",Statistik Ekonomi - Kelas B,1,09/09/2025,Offline,2 jam,membahas RPS dan Konsep Dasar Statistika
af67c0b4,"Fitriaman, SE., MSA, Ak, CSRS, CSRA, CRA, CIISA",Teori Akuntansi - Kelas A,1,09/09/2025,Offline,1 jam,Perkenalan akuntansi
57948809,"Prof. Dr. H. Arifuddin, SE, M.Si, Ak, CA, ACPA, CTA",Akuntansi Keuangan Daerah - Kelas D,1,09/09/2025,Online,1 jam 30 menit,kontrak perkuliahan
28264aa0,"MUTMAINNAH, S.Ak., M.Acc",Praktikum Audit - Kelas D,1,04/09/2025,Offline,1 jam 30 menit,kontrak perkuliahan
dc23665f,"Dr. Eliyanti Agus Mokodompit, SE., M.Si.",Pancasila - Kelas E,1,09/09/2025,Online,1 jam,"Membahas tentang tata tertib kelas,  perkenalan dan pembagian kelompok"
